SampleID	sample_ID	pnid	treatment	reads_number	time	gel
DB18.312	MGV8-24h	MGV8	24h	6443	24	h
DB18.313	MGV9-NG0	MGV9	NG0	8041	0	N
DB18.314	MGV9-G0	MGV9	G0	1781	0	G
DB18.315	MGV9-NG5	MGV9	NG5	11398	5	N
DB18.316	MGV9-G5	MGV9	G5	12328	5	G
DB18.317	MGV_control	MGV_control	NA	69	NA	NA
DB18.318	MGV10-NG5	MGV10	NG5	4683	5	N
DB18.319	MGV10-G0	MGV10	G0	98	0	G
DB18.320	MGV10-G5	MGV10	G5	11060	5	G
DB18.321	MGV11-NG0	MGV11	NG0	15218	0	N
DB18.322	MGV10-24h	MGV10	24h	12296	24	h
DB18.323	MGV11-G0	MGV11	G0	12783	0	G
DB18.324	MGV11-NG5	MGV11	NG5	6592	5	N
DB18.325	MGV11-NG0?	MGV11	NG0?	8127	0	N
DB18.326	MGV11-G5	MGV11	G5	22	5	G
DB18.327	MGV11-24h	MGV11	24h	17676	24	h
DB18.328	MGV12-NG0	MGV12	NG0	9714	0	N
DB18.329	MGV12-NG5	MGV12	NG5	11156	5	N
DB18.330	MGV12-G0	MGV12	G0	5008	0	G
DB18.331	MGV12-G5	MGV12	G5	10107	5	G
DB18.332	MGV12-24h	MGV12	24h	12328	24	h
DB18.333	MGV13-NG0	MGV13	NG0	5871	0	N
DB18.334	MGV13-NG5	MGV13	NG5	15133	5	N
DB18.335	MGV13-G0	MGV13	G0	20921	0	G
DB18.336	MGV13-G5	MGV13	G5	19352	5	G
DB18.337	MGV13-24h	MGV13	24h	10525	24	h
DB18.338	MGV14-NG0	MGV14	NG0	12684	0	N
DB18.339	MGV14-NG5	MGV14	NG5	7058	5	N
DB18.340	MGV14-G0	MGV14	G0	1640	0	G
DB18.341	MGV14-G5	MGV14	G5	3018	5	G
DB18.342	MGV14-24h	MGV14	24h	13240	24	h
